,idx,text_preview,target_lang,system,sim_mode,alpha_bpe,beta_emb,choice_1_lang,choice_1_weight,choice_2_lang,choice_2_weight,choice_3_lang,choice_3_weight,top_score,safety_fallback,loss,ppl,avg_logprob,entropy,tokens
0,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,base,none,,,,,,,,,,False,1.9901182651519775,7.316398986183671,-1.9901182651519775,1.9901182651519775,33
1,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,fixed_mix50:hi+pa+bn,fixed_mix_50_50,0.5,0.5,hi,0.7,pa,0.15,bn,0.15,0.16509831559222415,False,2.0393636226654053,7.68571662642183,-2.0393636226654053,2.0393636226654053,33
2,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,base,none,,,,,,,,,,False,0.9539365768432617,2.5959085653019476,-0.9539365768432617,0.9539365768432617,46
3,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2602131491307081,False,1.0489155054092407,2.8545536907585065,-1.0489155054092407,1.0489155054092407,46
4,2,ऐसे में इसे रकम की जरूरत होगी।,hi,base,none,,,,,,,,,,False,3.079240322113037,21.741879295952625,-3.079240322113037,3.079240322113037,18
5,2,ऐसे में इसे रकम की जरूरत होगी।,hi,fixed_mix50:hi+tr+pa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,pa,0.15,0.28992117212749136,False,3.2273786067962646,25.21347583127943,-3.2273786067962646,3.2273786067962646,18
6,3,घायलों को अस्पताल में देर से मिला इलाज,hi,base,none,,,,,,,,,,False,2.2988617420196533,9.96283572101834,-2.2988617420196533,2.2988617420196533,20
7,3,घायलों को अस्पताल में देर से मिला इलाज,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2617094764266075,False,2.2057321071624756,9.076894395328777,-2.2057321071624756,2.2057321071624756,20
8,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,base,none,,,,,,,,,,False,2.7382829189300537,15.460415504999709,-2.7382829189300537,2.7382829189300537,20
9,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2732158044133247,False,2.8878538608551025,17.954734863651662,-2.8878538608551025,2.8878538608551025,20
10,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,base,none,,,,,,,,,,False,2.4535889625549316,11.63001158376906,-2.4535889625549316,2.4535889625549316,26
11,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,fixed_mix50:hi+tr+ms,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,ms,0.15,0.2800440044853748,False,2.604060173034668,13.518514266357133,-2.604060173034668,2.604060173034668,26
12,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,base,none,,,,,,,,,,False,2.444606304168701,11.52601096300883,-2.444606304168701,2.444606304168701,24
13,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.28618374855852735,False,2.4826364517211914,11.972788522606853,-2.4826364517211914,2.4826364517211914,24
14,7,यह कोई आसान व सहज बात नहीं थी।,hi,base,none,,,,,,,,,,False,3.7879796028137207,44.16707503600818,-3.7879796028137207,3.7879796028137207,15
15,7,यह कोई आसान व सहज बात नहीं थी।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2773001482490362,False,3.6566827297210693,38.732642877978385,-3.6566827297210693,3.6566827297210693,15
16,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,base,none,,,,,,,,,,False,1.5403486490249634,4.6662168593757105,-1.5403486490249634,1.5403486490249634,57
17,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,fixed_mix50:hi+pa+bn,fixed_mix_50_50,0.5,0.5,hi,0.7,pa,0.15,bn,0.15,0.16941094847561822,False,1.5145560503005981,4.547401860963336,-1.5145560503005981,1.5145560503005981,57
18,9,‘राम जन्मभूमि पर अगर राम का मंदिर नहीं बनेगा तो किसका बनेगा?,hi,base,none,,,,,,,,,,False,1.9173260927200317,6.8027442212409035,-1.9173260927200317,1.9173260927200317,32
19,9,‘राम जन्मभूमि पर अगर राम का मंदिर नहीं बनेगा तो किसका बनेगा?,hi,fixed_mix50:hi+bn+pa,fixed_mix_50_50,0.5,0.5,hi,0.7,bn,0.15,pa,0.15,0.16165962837427564,False,1.6628528833389282,5.274336467713346,-1.6628528833389282,1.6628528833389282,32
20,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.34717157337325766,ur,0.32642749376321506,fa,0.32640093286352734,0.03131437191098929,False,1.8936243057250977,6.64340282408287,-1.8936243057250977,1.8936243057250977,33
21,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5191169111067562,bn,0.41683424961387266,ar,0.06404883927937127,0.36015263199806213,False,2.0143609046936035,7.49593523302189,-2.0143609046936035,2.0143609046936035,33
22,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.4694108420564763,bn,0.40923378220751677,ar,0.12135537573600677,0.24461784219524008,False,2.009242534637451,7.457666283451654,-2.009242534637451,2.009242534637451,33
23,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,pa,0.4227570174750914,bn,0.3914705990882158,ar,0.1857723834366928,0.16509831559222415,False,2.013761520385742,7.491443633302138,-2.013761520385742,2.013761520385742,33
24,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,pa,0.3662366003761273,bn,0.36021353978078985,ar,0.27354985984308283,0.08557878898920829,False,1.9920003414154053,7.330181973297256,-1.9920003414154053,1.9920003414154053,33
